Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-09-20,4023.35,4026.28,4013.28,4026.15,4653309
2016-09-21,4030.55,4044.43,4028.66,4044.43,5178255
2016-09-22,4062.71,4104.77,4062.67,4104.77,6745070
2016-09-23,4104.99,4104.99,4063.22,4081.44,4124506
2016-09-26,4085.75,4087.75,4049.73,4071.06,3321698
2016-09-27,4060.95,4071.02,4037.77,4061.92,5395762
2016-09-28,4059.39,4060.39,4023.68,4055.74,4055852
2016-09-29,4071.44,4081.31,4038.19,4059.3,3852236
2016-09-30,4041.82,4051.34,4025.93,4030.06,5616568
2016-10-03,4029.85,4042.85,4019.83,4035.77,7601816
2016-10-04,4046.81,4053.49,4029.39,4038.86,8852665
2016-10-05,4041.35,4049.85,4027.46,4039.39,7608192
2016-10-06,4052.71,4052.71,4024.72,4040.46,5342351
2016-10-07,4047.59,4056.37,4015.69,4015.69,3382889
2016-10-10,4018.09,4024.18,3995.84,4017.37,3063288
2016-10-11,4046.94,4055.84,4015.91,4039.22,3842893
2016-10-12,4031.22,4036.42,4008.23,4023.68,4188204
2016-10-13,4030.1,4030.68,4004.64,4004.64,7891461
2016-10-14,4016.71,4055.16,4016.71,4040.07,4272714
2016-10-17,4042.73,4076.06,4037.6,4069.44,3061549
2016-10-18,4085.67,4092.94,4074.83,4091.92,3694866
2016-10-19,4095.6,4109.42,4090.58,4107.37,4999701
2016-10-20,4114.77,4119.33,4078.5,4085.03,3940082
2016-10-21,4096.21,4100.9,4074.06,4079.47,3083213
2016-10-24,4089.35,4105.65,4086.47,4100.05,6273191
2016-10-25,4106.03,4110.58,4063.76,4070.82,6668344
2016-10-26,4073.43,4083.22,4062.29,4075.26,4614589
2016-10-27,4069.62,4077.56,4051.63,4074.32,3289714
2016-10-28,4074.12,4081.87,4067.8,4073.22,4486063
2016-10-31,4071.8,4116.21,4071.8,4116.21,3218164
2016-11-02,4105.81,4105.81,3985.85,4000,4325831
2016-11-03,4003.84,4012.04,3994.39,4004.37,3849305
2016-11-04,3992.8,3993.12,3939.97,3953.94,4587000
2016-11-07,3975.8,3986.62,3954.62,3966.85,2948069
2016-11-08,3986.44,3992.98,3972.93,3987.16,4102768
